Year,Month,Year.month,Anomaly_average
1921,11,1921.11,-0.7311333333
1921,12,1921.12,-0.08916129032
1922,1,1922.1,-0.9079677419
1922,2,1922.2,-0.9016785714
1922,3,1922.3,0.03677419355
1922,4,1922.4,0.3088666667
1922,5,1922.5,0.2479032258
1922,6,1922.6,0.2003
1922,7,1922.7,-0.06525806452
1922,8,1922.8,-0.2602580645
1922,9,1922.9,-0.3307
1922,10,1922.10,-0.4496129032
1922,11,1922.11,-0.3182666667
1922,12,1922.12,-0.6353870968
1923,1,1923.1,0.06258064516
1923,2,1923.2,-1.012071429
1923,3,1923.3,-0.292
1923,4,1923.4,-0.0423
1923,5,1923.5,-0.07761290323
1923,6,1923.6,0.0439
1923,7,1923.7,-0.04396774194
1923,8,1923.8,-0.4065806452
1923,9,1923.9,-0.0973
1923,10,1923.10,-0.166
1923,11,1923.11,0.03706666667
1923,12,1923.12,0.3176451613
1924,1,1924.1,-1.063354839
1924,2,1924.2,-0.09034482759
1924,3,1924.3,-0.1389032258
1924,4,1924.4,0.0277
1924,5,1924.5,-0.08393548387
1924,6,1924.6,0.2558333333
1924,7,1924.7,-0.00735483871
1924,8,1924.8,-0.02258064516
1924,9,1924.9,-0.5104666667
1924,10,1924.10,-0.006709677419
1924,11,1924.11,0.1311
1924,12,1924.12,-0.9259032258
1925,1,1925.1,-0.7563548387
1925,2,1925.2,-0.2394285714
1925,3,1925.3,-0.2048064516
1925,4,1925.4,0.5399
1925,5,1925.5,-0.2530645161
1925,6,1925.6,0.1034666667
1925,7,1925.7,-0.07561290323
1925,8,1925.8,-0.1647419355
1925,9,1925.9,0.1471333333
1925,10,1925.10,-0.7597419355
1925,11,1925.11,0.09843333333
1925,12,1925.12,0.3359677419
1926,1,1926.1,0.5191935484
1926,2,1926.2,0.6603928571
1926,3,1926.3,0.272
1926,4,1926.4,0.2098333333
1926,5,1926.5,0.07535483871
1926,6,1926.6,-0.03436666667
1926,7,1926.7,0.1905483871
1926,8,1926.8,0.1266129032
1926,9,1926.9,-0.1860666667
1926,10,1926.10,0.2612258065
1926,11,1926.11,-0.1728333333
1926,12,1926.12,-0.8800967742
1927,1,1927.1,-0.5787096774
1927,2,1927.2,-0.2503214286
1927,3,1927.3,-0.3954193548
1927,4,1927.4,-0.1135
1927,5,1927.5,0.02658064516
1927,6,1927.6,0.02386666667
1927,7,1927.7,0.3157096774
1927,8,1927.8,-0.2724193548
1927,9,1927.9,0.1544
1927,10,1927.10,0.5150645161
1927,11,1927.11,-0.02093333333
1927,12,1927.12,-1.252580645
1928,1,1928.1,0.371516129
1928,2,1928.2,0.01427586207
1928,3,1928.3,-0.1134193548
1928,4,1928.4,-0.2768333333
1928,5,1928.5,0.3802903226
1928,6,1928.6,-0.3537333333
1928,7,1928.7,0.2679354839
1928,8,1928.8,0.01587096774
1928,9,1928.9,-0.2999666667
1928,10,1928.10,0.1217741935
1928,11,1928.11,-0.05503333333
1928,12,1928.12,0.075
1929,1,1929.1,-1.03216129
1929,2,1929.2,-1.486607143
1929,3,1929.3,0.4949677419
1929,4,1929.4,-0.1150666667
1929,5,1929.5,-0.1131612903
1929,6,1929.6,-0.3201666667
1929,7,1929.7,-0.1957096774
1929,8,1929.8,-0.1654193548
1929,9,1929.9,-0.4415333333
1929,10,1929.10,0.029
1929,11,1929.11,-0.5024666667
1929,12,1929.12,-0.938483871
1930,1,1930.1,-1.383354839
1930,2,1930.2,0.4163214286
1930,3,1930.3,-0.09880645161
1930,4,1930.4,0.4104666667
1930,5,1930.5,-0.1789677419
1930,6,1930.6,0.1619666667
1930,7,1930.7,0.3119354839
1930,8,1930.8,0.1028387097
1930,9,1930.9,-0.1464
1930,10,1930.10,-0.3697419355
1930,11,1930.11,0.2838
1930,12,1930.12,-0.3132580645
1931,1,1931.1,-0.08361290323
1931,2,1931.2,-0.2645714286
1931,3,1931.3,-0.3808709677
1931,4,1931.4,0.2363666667
1931,5,1931.5,-0.06487096774
1931,6,1931.6,0.2935666667
1931,7,1931.7,0.5340967742
1931,8,1931.8,0.06680645161
1931,9,1931.9,0.2455333333
1931,10,1931.10,0.3835483871
1931,11,1931.11,-0.1192666667
1931,12,1931.12,0.02548387097
1932,1,1932.1,0.6626129032
1932,2,1932.2,-0.1372068966
1932,3,1932.3,-0.8109032258
1932,4,1932.4,0.6699333333
1932,5,1932.5,0.1312258065
1932,6,1932.6,0.09476666667
1932,7,1932.7,0.06032258065
1932,8,1932.8,0.08203225806
1932,9,1932.9,0.1640333333
1932,10,1932.10,0.08367741935
1932,11,1932.11,-0.4741
1932,12,1932.12,-0.837483871
1933,1,1933.1,-0.1169354839
1933,2,1933.2,-1.077071429
1933,3,1933.3,-0.1359032258
1933,4,1933.4,-0.07693333333
1933,5,1933.5,-0.08680645161
1933,6,1933.6,0.0316
1933,7,1933.7,0.01161290323
1933,8,1933.8,-0.2152580645
1933,9,1933.9,-0.1837666667
1933,10,1933.10,-0.343
1933,11,1933.11,-0.6151666667
1933,12,1933.12,-1.156612903
1934,1,1934.1,0.01241935484
1934,2,1934.2,-0.058
1934,3,1934.3,-0.2254516129
1934,4,1934.4,0.0011
1934,5,1934.5,0.4609354839
1934,6,1934.6,0.01456666667
1934,7,1934.7,0.2107741935
1934,8,1934.8,-0.1902258065
1934,9,1934.9,-0.5824666667
1934,10,1934.10,0.0004838709677
1934,11,1934.11,0.1062
1934,12,1934.12,-0.3613870968
1935,1,1935.1,-0.6969677419
1935,2,1935.2,0.8489642857
1935,3,1935.3,0.2034516129
1935,4,1935.4,-0.3117666667
1935,5,1935.5,-0.4159677419
1935,6,1935.6,0.008933333333
1935,7,1935.7,0.2437419355
1935,8,1935.8,-0.1335806452
1935,9,1935.9,-0.272
1935,10,1935.10,0.01296774194
1935,11,1935.11,-0.9152666667
1935,12,1935.12,-0.5168387097
1936,1,1936.1,-0.3760322581
1936,2,1936.2,-1.680655172
1936,3,1936.3,0.4843548387
1936,4,1936.4,-0.4752
1936,5,1936.5,0.279483871
1936,6,1936.6,-0.05716666667
1936,7,1936.7,0.4496451613
1936,8,1936.8,0.04370967742
1936,9,1936.9,-0.1254666667
1936,10,1936.10,-0.03038709677
1936,11,1936.11,-0.2833
1936,12,1936.12,0.2084193548
1937,1,1937.1,-0.7038709677
1937,2,1937.2,0.2995714286
1937,3,1937.3,-0.297
1937,4,1937.4,0.07426666667
1937,5,1937.5,0.4348387097
1937,6,1937.6,0.2649333333
1937,7,1937.7,0.1757419355
1937,8,1937.8,0.2669354839
1937,9,1937.9,0.05763333333
1937,10,1937.10,0.2200645161
1937,11,1937.11,-0.1978333333
1937,12,1937.12,-0.564483871
1938,1,1938.1,0.1542903226
1938,2,1938.2,0.044
1938,3,1938.3,0.7979032258
1938,4,1938.4,0.5454333333
1938,5,1938.5,0.3099677419
1938,6,1938.6,0.1016666667
1938,7,1938.7,0.1917419355
1938,8,1938.8,0.1568064516
1938,9,1938.9,0.1658666667
1938,10,1938.10,0.4282903226
1938,11,1938.11,-0.05593333333
1938,12,1938.12,-0.4578064516
1939,1,1939.1,0.506516129
1939,2,1939.2,-0.4707142857
1939,3,1939.3,0.03225806452
1939,4,1939.4,0.2562
1939,5,1939.5,0.5128064516
1939,6,1939.6,0.1416666667
1939,7,1939.7,0.2769677419
1939,8,1939.8,0.003387096774
1939,9,1939.9,-0.0592
1939,10,1939.10,-0.4393548387
1939,11,1939.11,-0.1574333333
1939,12,1939.12,1.313064516
1940,1,1940.1,-1.183
1940,2,1940.2,0.2665172414
1940,3,1940.3,0.2124516129
1940,4,1940.4,0.4002666667
1940,5,1940.5,0.2500322581
1940,6,1940.6,0.2801
1940,7,1940.7,0.3084193548
1940,8,1940.8,-0.025
1940,9,1940.9,0.1025666667
